name,sellPrice
"DISTRIBUCIÓN  8V CON BOMBA (GOL, SIENA, CORSA, PALIO, ONIX)",47000
"DISTRIBUCIÓN 16V CON BOMBA (K4M, SIGMA)*VW nuevo tiene bomba de agua aparte",60000
DISTRIBUCIÓN THP PEUGEOT CITROEN,78300
DISTRIBUCIÓN CACTUS,91300
DISTRIBUCIÓN VENTO/AUDI  TSI LATERAL tiene cadena,130400
DISTRIBUCIÓN VENTO/AUDI TSI LONGITUDINAL tiene cadena,195600
DISTRIBUCIÓN GASOLEROS CON BOMBA VIEJOS,49550
"DISTRIBUCIÓN HDI, GASOLEROS CON BOMBA berlingo partner/DV6(base termostato aparte)",57380
DISTRIBUCIÓN AMAROK/TOYOTA CON CORREA,65200
DISTRIBUCIÓN PEUGEOT BOXER CON BOMBA,86400
DISTRIBUCIÓN PEUGEOT BOXER SIN BOMBA,64800
CAMBIO DE BOMBA DE AGUA Y KIT POLI V IMPORTADOS Y NACIONALES (HRV),45600
CAMBIO DE BOMBA DE AGUA THP,26000
CAMBIO DE BOMBA DE AGUA TIPO TRACKER,39100
KIT POLI V,15650
"POLI V ELÁSTICAS (SIGMA, BAH, KWID)",6520
KIT POLI V IMPORTADOS,32600
CAMBIO GRIFO CALEFACCIÓN FORD KA,19560
CAMBIO CAÑO DE AGUA PSA (PEUGEOT CITROEN),19560
CAMBIO CAÑO DE AGUA PSA (EXPERT),30000
CAMBIO MANGUERAS DE CALEFACCIÓN,10400
CAJA TERMOSTÁTICA SIN CAÑO,16200
"CAJA TERMOSTÁTICA PEUGEOT CITROEN 1,4-1,6",16200
"CAJA TERMOSTÁTICA PEUGEOT CITROEN 2,0",19000
"CAJA TERMOSTÁTICA TRABAJOSA (PSA 1,6, SIGMA, HD, GOL TREND) CON CAÑO",21000
CAJA TERMOSTÁTICA THP CON CAÑO DE AGUA,32600
CAJA TERMOSTÁTICA HDI,32600
"TERMOSTATO (LOGAN, KANGOO, PSA 1,4)",10500
"TERMOSTATO CON BOMBA DE AGUA VW UP, GOLF, POLO",26000
RADIADOR DE CALEFACCIÓN 307 NO SE SACA TABLERO,19500
CAMBIO BULBO TEMPERATURA,
CAMBIO DE LÍQUIDO REFRIGERANTE con limpieza de circuito,9100
CAMBIO DE DEPÓSITO DE AGUA,6500
RADIADOR CORSA,19600
RADIADOR VOYAGE/GOL TREND,19600
RADIADOR PARTNER,24800
RADIADOR TRABAJOSO CON DESARME DE TROMPA Y MÁSCARA,39100
CAMBIO ELECTROVENTILADOR GOL TREND,18300
CAMBIO ELECTROVENTILADOR PARTNER SACANDO PARAGOLPES,26000
CAMBIO RESISTENCIA DE ELECTROVENTILADOR PARTNER SACANDO PARAGOLPES,19600
PATA MOTOR INFERIOR,7800
PATA MOTOR SUPERIOR LADO DISTRIBUCIÓN,10500
PATA MOTOR LADO CAJA,13000
CAMBIO DE ORRING DEPRESOR 207 HDI,7800
CAMBIO DE ORRING DE BASE DE ENFRIADOR DE ACEITE (sacando escape o múlti. admisión),32600
CAMBIO DE ORRING BASE ENFRIADOR DE AGUA saca+coloca múltiple escape o admisión,32600
"CAMBIO ORRING BASE FILTRO ACEITE motor Peugeot 1,4 1,6",15700
CAMBIO ORRING DEPÓSITO DE GASES Fox Suran,10400
EMBRAGUE GOL VIEJO,58700
"EMBRAGUE RÁPIDO ( CORSA, PRISMA, PEUGEOT)",65200
EMBRAGUE TRABAJOSO (RENAULT),84800
EMBRAGUE ALTA GAMA/CAMIONETA 4X2,91300
EMBRAGUE ALTA GAMA/CAMIONETA 4X4,117000
CAMBIO BOMBÍN INTERNO igual embrague,
CAMBIO BOMBÍN EXTERNO,13000
CAMBIO CABLE EMBRAGUE,10500
CAMBIO SELECTORA GENERAL,32600
CAMBIO SELECTORA CHEVROLET TRACKER,45700
CAMBIO SELECTORA  AVEO,23500
CAMBIO BIELETAS SELECTORA,10400
CAMBIO BOMBA EMBRAGUE TRABAJOSO,31300
CAMBIO BOMBA EMBRAGUE RÁPIDO,23500
CAMBIO BOMBA HIDRÁULICA,23500
RECTIFICACIÓN DE VOLANTE,3100
JUNTA DE TAPA DE VÁLVULAS 8V,9800
"JUNTA DE TAPA DE VÁLVULAS 16V CON ADM (KWID, TWINGO)",13700
CAMBIO DE TAPA DE VÁLVULAS,15650
"REGULACIÓN DE VÁLVULAS 8V (K7M. PEUGEOT 1,4)",27000
"REGULACIÓN DE VÁLVULAS 16V (D4F, CLIO 1,2)",27000
REGULACIÓN DE VÁLVULAS DV6,54000
"TAPA DE CILINDROS 8V, RÁPIDAS CON PERIFÉRICOS ( CORSA, GOL)",130400
"TAPA  DE CILINDROS 16V CON PERIFÉRICOS (MANGUERAS, ETC) Y DIESEL",169500
TAPA DE CILINDROS 16V COMPLICADA/CAMIONETA,208700
CAMBIO DEPRESOR THP,27000
CAMBIO ESPIRALES X LADO,13000
AMORTIGÜADOR DELANTERO X 1,14400
AMORTIGÜADOR TRASERO X 1 sin espiral,7900
AMORTIGÜADOR TRASERO X 1 con espiral,9800
"AMORTIGÜACIÓN COMPLETA DELANTERA AMBOS LADOS (parrillas, extremos, precap, amort)",65200
"AMORTIGÜACIÓN COMPLETA TRASERA con brazos tensores, portamazas... X LADO",32600
AMORTIGÜACIÓN COMPLETA TRASERA IDEM + AMORTIGÜADORES X LADO,36500
TREN DELANTERO DOBLE PARRILLA O CON BRAZOS AMBOS LADOS COMPLETO,91300
PARRILLAS O BUJES DE PARRILLA,14300
PARRILLAS O BUJES DE PARRILLA SI RÓTULA X LADO,3900
BUJES DE BARRA X PAR,7900
BUJES DE BARRA X PAR BAJANDO PUENTE,18300
BUJES TENSORES X LADO,6500
BIELETAS X PAR,7900
RÓTULA,10500
RULEMANES TRASEROS UN LADO,10500
RULEMANES TRASEROS AMBOS LADOS,20900
RULEMANES DELANTEROS UN LADO,15700
RULEMANES DELANTEROS AMBOS LADOS,31300
ALINEACIÓN,6000
ALINEACIÓN Y BALANCEO,9000
"ROTACIÓN, ALINEACIÓN Y BALANCEO",15000
CAMBIO DE PASTILLAS DELANTERAS el juego,10400
CAMBIO DE PASTILLAS TRASERAS el juego,14400
CAMBIO DE PASTILLAS Y DISCOS DELANTEROS,19600
CAMBIO DE PASTILLAS Y DISCOS TRASEROS,23500
FRENOS TRASEROS CON RECTIFICACIÓN C/CILINDROS,20900
FRENOS TRASEROS REGULACIÓN,13000
CAMBIO DE BOMBA DE FRENOS,19600
CAMBIO DE LÍQUIDO DE FRENOS con limpieza y purgado de circuito,11800
SACAR Y PONER CALIPERS DE FRENOS DELANTERO O TRASERO ambos lados,19600
SERVICE AUTO,24800
SERVICE AUTO CON REGULACIÓN Y LIMPIEZA DE FRENOS TRASEROS,32400
SERVICE CAMIONETA,31100
SERVICE CAMIONETA CON REGULACIÓN DE FRENOS TRASEROS,40000
SERVICE ALTA GAMA AUTOS/CAMIONETAS,45000
SERVICE CAJA AUTOMÁTICA SIN FILTRO incluye escaneo y reprogramación de valores,26000
SERVICE CAJA AUTOMÁTICA CON FILTRO incluye escaneo y reprogramación de valores,39100
SERVICE DE INYECCIÓN POR FALLA,31298
SERVICE DE INYECCIÓN POR MANTENIMIENTO,23500
SERVICE DE INYECCIÓN SCANDO MÚLTIPLE ,32000
ESCENO A PEDIDO DE CLIENTE,9500
CAMBIO DE BATERÍA/ESCNEO Y BORRADO DE CÓDIGOS,9500
CONTROL GENERAL INCLUYE ESCANEO ELECTRÓNICO GENERAL,15700
CAMBIO DE BOMBA DE ACEITE,20000
LLENADO/REGENERACIÓN FILTRO DE PARTÍCULAS PEUGEOT/CITROEN,39100
LLENADO/REGENERACIÓN FILTRO DE PARTÍCULAS ,
CAMBIO DE MOTOR PASO A PASO,
CAMBIO DE BUJÍAS,
CAMBIO DE CABLES DE BUJÍAS,
SACAR Y PONER ALTERNADOR,19500
SACAR Y PONER ALTERNADOR SACANDO BOMBA HIDRÁULICA,27400
ARRANQUE FÁCIL,10500
ARRANQUE DIFICULTOSO,17000
CAMBIO BOMBA DE NAFTA,19600
CAMBIO BOMBA ALTA PRESIÓN THP CON DX,58700
SACAR Y COLOCAR TURBOS AMAROK,65200
SACAR Y COLOCAR MÚLTIPLE DE ADMISIÓN (CORSA),16200
BAJAR Y SUBIR TANQUE DE COMBUSTIBLE,23500
SACAR PARA REPARAR INYECTORES y colocar SIN DX,58700
SACAR PARA REPARAR INYECTORES y colocar CON DX,84800
SACAR Y COLOCAR CREMALLERA,39100
CAMBIO CRUZETA/ COLAPSABLE,14300
RECAMBIO EJE TRASERO,45700
EXTREMO DE DIRECCIÓN X LADO,5200
CAMBIO HOMOCINÉTICAS ( ESTÁ EN SEMIEJE CON RETENES) X LADO,13000
SEMIEJE Partner Citroen cambio buje soporte motor inf/retén/rul y seg+ 207+FOCUS +KINETIC,19600
SEMIEJE GENERAL,10400
SACAR PARA REPARAR SEMIEJE LARGO  y colocar,14400
SACAR PARA REPARAR SEMIEJE CORTO y colocar,11800
CAMBIO FUELLE SEMIEJE LADO RUEDA,13000
CAMBIO FUELLE SEMIEJE LADO CAJA,19600
"PRECAP, EXTREMO, FUELLE x lado",5900
SELLADO DE CARTER,10500
CAMBIO DE JUNTA DE CARTER,10500
ALARGUE DE SONDA,5200